2016-11-08 09:37:25,017 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:37:23 CST 2016]; root of context hierarchy
2016-11-08 09:37:25,084 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:37:23 CST 2016]; root of context hierarchy
2016-11-08 09:37:25,306 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2016-11-08 09:37:25,353 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-11-08 09:37:25,368 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/js/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2016-11-08 09:37:25,591 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1992 ms
2016-11-08 09:43:51,786 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016-11-08 09:43:51,933 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Nov 08 09:43:51 CST 2016]; root of context hierarchy
2016-11-08 09:43:51,965 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-11-08 09:43:52,341 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config/paoding/paoding-analyzer.properties]
2016-11-08 09:43:52,342 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config/profile/config.properties]
2016-11-08 09:43:52,348 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-11-08 09:43:52,589 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/page/{path}/{file}],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.common.controller.CommonController.toPage(java.lang.String,java.lang.String)
2016-11-08 09:43:52,594 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-11-08 09:43:52,594 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.toUpload()
2016-11-08 09:43:52,978 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:43:51 CST 2016]; root of context hierarchy
2016-11-08 09:43:53,036 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:43:51 CST 2016]; root of context hierarchy
2016-11-08 09:43:53,132 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2016-11-08 09:43:53,158 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-11-08 09:43:53,162 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/js/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2016-11-08 09:43:53,370 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1581 ms
2016-11-08 09:45:56,002 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016-11-08 09:45:56,111 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Nov 08 09:45:56 CST 2016]; root of context hierarchy
2016-11-08 09:45:56,165 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-11-08 09:45:56,727 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config/paoding/paoding-analyzer.properties]
2016-11-08 09:45:56,727 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config/profile/config.properties]
2016-11-08 09:45:56,732 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-11-08 09:45:56,927 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/page/{path}/{file}],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.common.controller.CommonController.toPage(java.lang.String,java.lang.String)
2016-11-08 09:45:56,930 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-11-08 09:45:56,930 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.toUpload()
2016-11-08 09:45:57,285 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:45:56 CST 2016]; root of context hierarchy
2016-11-08 09:45:57,341 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Nov 08 09:45:56 CST 2016]; root of context hierarchy
2016-11-08 09:45:57,416 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
